"","Data","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"332","Groundnut","T1",0.1,1,"39×49-77",15.0818709859154,0
"333","Groundnut","T1",0.1,1,"39×49-8",13.4249425633879,0
"334","Groundnut","T1",0.1,1,"39×49-81-1",18.4741120013076,0
"335","Groundnut","T1",0.1,1,"49M-1-1",12.3186577845834,0
"336","Groundnut","T1",0.1,1,"49M-16",22.6695365813436,0
"337","Groundnut","T1",0.1,1,"49M-2-2",10.7414063760876,0
"338","Groundnut","T1",0.1,1,"49×27-13(ii)",10.20350641863,0
"339","Groundnut","T1",0.1,1,"49×27-19",13.8408357134485,0
"340","Groundnut","T1",0.1,1,"49×27-37",15.0882558948878,0
"341","Groundnut","T1",0.1,1,"49×37-134",13.0351775919286,0
"342","Groundnut","T1",0.1,1,"49×37-135",13.1866113314464,0
"343","Groundnut","T1",0.1,1,"49×37-90",10.5299184326852,0
"344","Groundnut","T1",0.1,1,"49×37-91",14.4401995051589,0
"345","Groundnut","T1",0.1,1,"49×37-97-1",7.58288912002398,0
"346","Groundnut","T1",0.1,1,"49×37-99(b)tall",8.92161930121211,0
"347","Groundnut","T1",0.1,1,"49×39-20-2",10.9104457163092,0
"348","Groundnut","T1",0.1,1,"49×39-21-1",12.0350135618142,0
"349","Groundnut","T1",0.1,1,"49×39-21-2",13.0417955779343,0
"350","Groundnut","T1",0.1,1,"49×39-21-2(a)",22.1171216676073,0
"351","Groundnut","T1",0.1,1,"49×39-74",21.5904391852572,0
"352","Groundnut","T1",0.1,1,"49×39-8",11.1030778901669,0
"353","Groundnut","T1",0.1,1,"BAU13",8.9692355701073,0
"354","Groundnut","T1",0.1,1,"CS39",14.3474769915291,14.3474769915291
"355","Groundnut","T1",0.1,1,"CSMG84-1",13.4974114314913,0
"356","Groundnut","T1",0.1,1,"DH86",16.1817004971733,0
"357","Groundnut","T1",0.1,1,"DTG15",16.1663866480074,0
"358","Groundnut","T1",0.1,1,"DTG3",16.0175682577047,0
"359","Groundnut","T1",0.1,1,"Faizpur1-5",14.8620769867051,0
"360","Groundnut","T1",0.1,1,"GPBD4",16.5374753311836,0
"361","Groundnut","T1",0.1,1,"Gangapuri",9.01015747629991,0
